Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
09/03/24,20:14:24,"""CNR5309981""",Completed,"""CID3870048""",Go Mini,Noida Sector 18,Old Gurgaon,7.9,41.1,,,,,,,113,14.53,4.6,4.9,UPI
28/08/24,16:30:14,"""CNR2978950""",Completed,"""CID2977484""",Auto,Kanhaiya Nagar,Anand Vihar,13.6,25.2,,,,,,,767,7.39,3.8,4.6,Debit Card
08/08/24,6:34:38,"""CNR2806943""",Completed,"""CID7550481""",Uber XL,Okhla,Barakhamba Road,5.1,20.7,,,,,,,495,10.23,3.8,4.2,Credit Card
26/01/24,9:44:00,"""CNR3614535""",Cancelled by Driver,"""CID2507102""",Auto,Cyber Hub,Saket,11.5,,,,1,Personal & Car related issues,,,,,,,
12/04/24,19:42:35,"""CNR4499383""",No Driver Found,"""CID5717521""",Premier Sedan,Sadar Bazar Gurgaon,Mehrauli,,,,,,,,,,,,,
05/04/24,18:57:12,"""CNR9834201""",Incomplete,"""CID7891331""",Bike,Shastri Park,Botanical Garden,3.1,28.2,,,,,1,Vehicle Breakdown,304,1.98,,,UPI
03/11/24,12:24:59,"""CNR8779845""",Completed,"""CID7444351""",Auto,Faridabad Sector 15,Malviya Nagar,8.9,31.1,,,,,,,2847,39.21,3.1,4.6,Debit Card
18/05/24,17:37:52,"""CNR2178654""",Cancelled by Driver,"""CID3631860""",Go Mini,Qutub Minar,Vishwavidyalaya,9.2,,,,1,More than permitted people in there,,,,,,,
15/11/24,5:53:55,"""CNR3871541""",Completed,"""CID9849259""",Go Mini,Mundka,Preet Vihar,8.9,41,,,,,,,282,8.36,3.8,4.4,UPI
04/02/24,18:08:04,"""CNR2877692""",Completed,"""CID5901711""",Premier Sedan,DLF City Court,Nehru Place,11.5,20.5,,,,,,,656,6.39,5,4.9,Uber Wallet
29/05/24,14:05:10,"""CNR9603633""",Completed,"""CID5856503""",Auto,Tis Hazari,Shahdara,2,19.4,,,,,,,134,46.66,3.8,4.4,Credit Card
13/07/24,19:53:15,"""CNR8087051""",Cancelled by Driver,"""CID9716528""",Go Sedan,New Colony,Ghitorni Village,5.4,,,,1,Customer related issue,,,,,,,
07/06/24,19:21:10,"""CNR7823292""",Completed,"""CID9377721""",Go Sedan,Nirman Vihar,Malviya Nagar,14.6,25.4,,,,,,,470,27.07,3.7,4.2,Cash
16/05/24,13:04:31,"""CNR9918895""",Completed,"""CID9520433""",Auto,New Delhi Railway Station,Noida Film City,6.7,20.5,,,,,,,187,12.16,4.9,4.3,UPI
02/10/24,3:10:35,"""CNR7401001""",Completed,"""CID9958715""",Premier Sedan,Civil Lines Gurgaon,Mandi House,6.6,30,,,,,,,186,10.28,4.4,4.6,UPI
26/02/24,15:43:16,"""CNR2631310""",Completed,"""CID4355670""",eBike,Seelampur,Janakpuri,10,35.8,,,,,,,70,44.42,4.1,4.4,UPI
10/09/24,13:02:42,"""CNR4218487""",Cancelled by Customer,"""CID3037053""",Bike,Noida Extension,Udyog Vihar Phase 4,11,,1,Driver is not moving towards pickup location,,,,,,,,,
12/09/24,9:14:57,"""CNR5333099""",Cancelled by Driver,"""CID5112050""",Auto,Adarsh Nagar,Civil Lines Gurgaon,8,,,,1,Personal & Car related issues,,,,,,,
24/01/24,10:47:57,"""CNR5969954""",Completed,"""CID5558118""",Auto,Vinobapuri,Karkarduma,12.8,18.7,,,,,,,273,34.64,4.5,4.6,Uber Wallet
12/02/24,19:42:39,"""CNR4130953""",Incomplete,"""CID3196782""",Premier Sedan,Panipat,Tagore Garden,6.4,10.5,,,,,1,Other Issue,966,18.3,,,Debit Card
02/10/24,19:17:00,"""CNR6693125""",Cancelled by Driver,"""CID7364449""",Auto,Karol Bagh,Tagore Garden,5.4,,,,1,More than permitted people in there,,,,,,,
01/04/24,21:14:19,"""CNR9572979""",Completed,"""CID3474992""",Go Sedan,Sultanpur,Noida Extension,12.2,42.3,,,,,,,251,20.91,4.2,3.6,Debit Card
18/09/24,21:06:36,"""CNR6444364""",Cancelled by Driver,"""CID8262635""",Go Mini,Moti Nagar,Anand Vihar ISBT,6.6,,,,1,More than permitted people in there,,,,,,,
02/08/24,7:17:07,"""CNR4862806""",Cancelled by Customer,"""CID7875150""",Auto,Shastri Park,Anand Vihar ISBT,11.3,,1,Driver asked to cancel,,,,,,,,,
30/09/24,13:10:50,"""CNR4674790""",Incomplete,"""CID4795905""",Bike,Dilshad Garden,Nehru Place,2.3,29.7,,,,,1,Vehicle Breakdown,453,19.24,,,Debit Card
16/06/24,0:44:47,"""CNR6866217""",Completed,"""CID7798304""",Go Sedan,Dilshad Garden,Nehru Place,7.8,42.2,,,,,,,246,8.13,4.2,4.5,UPI
18/09/24,9:33:55,"""CNR4932611""",Completed,"""CID8795963""",Auto,Aya Nagar,Karkarduma,8.8,25.2,,,,,,,237,2.96,3.9,3.3,UPI
04/05/24,21:26:59,"""CNR1572483""",Incomplete,"""CID6059557""",Go Mini,Rajiv Chowk,Central Secretariat,9.9,21.6,,,,,1,Vehicle Breakdown,1581,1.82,,,Cash
03/06/24,18:14:47,"""CNR6945858""",Completed,"""CID9079088""",Go Mini,MG Road,Hauz Rani,4.1,25.1,,,,,,,379,33.04,4.2,4.5,Uber Wallet
03/10/24,22:20:34,"""CNR6584679""",Completed,"""CID4738537""",Go Mini,Jasola,Palam Vihar,11.2,40.7,,,,,,,545,44.7,4.3,4.3,Cash
25/05/24,11:24:29,"""CNR6125653""",Completed,"""CID2808212""",Go Mini,Kashmere Gate,RK Puram,3,35.4,,,,,,,479,7.38,4.2,4.6,UPI
04/03/24,17:46:46,"""CNR6092529""",Cancelled by Driver,"""CID5040634""",Go Sedan,Ardee City,Basai Dhankot,11.2,,,,1,More than permitted people in there,,,,,,,
10/11/24,5:13:57,"""CNR6339107""",Completed,"""CID7358763""",Go Mini,Punjabi Bagh,Madipur,9.1,23.2,,,,,,,647,24.93,4.3,4.7,Uber Wallet
11/09/24,10:36:44,"""CNR1349015""",Cancelled by Driver,"""CID9386278""",Auto,Meerut,Badarpur,4.3,,,,1,More than permitted people in there,,,,,,,
11/04/24,15:43:34,"""CNR9773309""",No Driver Found,"""CID9965847""",Uber XL,Anand Vihar ISBT,Dwarka Sector 21,,,,,,,,,,,,,
01/06/24,10:03:27,"""CNR2107544""",Completed,"""CID1266188""",Premier Sedan,Mayur Vihar,Palam Vihar,11.4,42.1,,,,,,,125,25.16,4.3,5,Credit Card
09/05/24,10:44:30,"""CNR4171959""",Cancelled by Driver,"""CID8470723""",Premier Sedan,Lajpat Nagar,Ramesh Nagar,6.3,,,,1,Customer related issue,,,,,,,
30/07/24,12:02:26,"""CNR5316307""",Completed,"""CID1816553""",Premier Sedan,Tughlakabad,Akshardham,12.4,21.5,,,,,,,375,48.85,3.3,3.3,Cash
25/02/24,16:23:19,"""CNR3635865""",Completed,"""CID6477355""",Auto,Cyber Hub,Yamuna Bank,11.7,33,,,,,,,310,24.41,4.6,3.8,Debit Card
09/02/24,11:15:59,"""CNR2497989""",Cancelled by Customer,"""CID5007066""",Auto,Karkarduma,IGI Airport,16.6,,1,Driver is not moving towards pickup location,,,,,,,,,
02/03/24,4:59:03,"""CNR8946337""",Cancelled by Driver,"""CID6438326""",Go Sedan,Shastri Nagar,New Colony,5.4,,,,1,Customer related issue,,,,,,,
27/08/24,18:22:02,"""CNR3740694""",Incomplete,"""CID5885514""",Auto,Aya Nagar,Green Park,2.3,10.1,,,,,1,Vehicle Breakdown,370,13.85,,,Cash
08/03/24,9:28:38,"""CNR4660896""",Cancelled by Driver,"""CID5486947""",Premier Sedan,Dwarka Mor,ITO,5.8,,,,1,More than permitted people in there,,,,,,,
20/03/24,9:59:11,"""CNR2513330""",Cancelled by Driver,"""CID7805280""",Premier Sedan,Adarsh Nagar,Noida Extension,6.7,,,,1,Customer related issue,,,,,,,
25/01/24,12:39:21,"""CNR9252424""",Completed,"""CID9413620""",eBike,Vidhan Sabha,Mehrauli,12.1,18.1,,,,,,,291,3.71,3.2,4.3,UPI
11/04/24,11:14:35,"""CNR3096031""",Completed,"""CID3101926""",Auto,Anand Vihar,Saket,5.8,24.3,,,,,,,114,32.98,4.3,4.5,Uber Wallet
17/06/24,20:25:47,"""CNR4141159""",Completed,"""CID6810411""",Go Mini,Uttam Nagar,New Delhi Railway Station,4,44.5,,,,,,,464,11.2,4.5,4.2,Cash
29/07/24,19:52:48,"""CNR6757829""",Completed,"""CID8433663""",Go Sedan,Model Town,Mundka,3.4,27.1,,,,,,,160,45.4,4,5,Cash
22/12/24,10:53:20,"""CNR6204326""",Cancelled by Driver,"""CID9419495""",Auto,Mandi House,India Gate,11.1,,,,1,Personal & Car related issues,,,,,,,
21/12/24,21:40:00,"""CNR3347993""",Completed,"""CID4871438""",eBike,Ghitorni,Pitampura,9.9,38.5,,,,,,,206,28.78,4.1,3.7,Cash
23/02/24,11:38:09,"""CNR6796311""",Incomplete,"""CID1880505""",Go Mini,Ghitorni Village,Palam Vihar,5.9,17.2,,,,,1,Customer Demand,217,2.81,,,Credit Card
05/05/24,21:22:39,"""CNR3908312""",Completed,"""CID8787746""",Bike,Okhla,Netaji Subhash Place,8.1,37.3,,,,,,,633,17.34,4.5,4.9,Credit Card
08/11/24,17:01:10,"""CNR9416323""",Completed,"""CID1025742""",Auto,DLF City Court,Udyog Vihar Phase 4,6.1,28.2,,,,,,,717,9.38,4.2,4.5,UPI
26/12/24,21:21:55,"""CNR2912296""",Completed,"""CID8094609""",Go Sedan,Rajiv Nagar,Ramesh Nagar,6,26.7,,,,,,,151,11.9,4.9,4.5,UPI
05/09/24,7:44:18,"""CNR4611314""",Completed,"""CID6968311""",Premier Sedan,Sohna Road,New Delhi Railway Station,5,34.7,,,,,,,512,35.66,3.7,4.9,UPI
25/11/24,8:29:14,"""CNR2601752""",Cancelled by Customer,"""CID9283370""",Go Sedan,Sadar Bazar Gurgaon,Indraprastha,12,,1,Driver asked to cancel,,,,,,,,,
15/08/24,18:40:03,"""CNR5793527""",Cancelled by Driver,"""CID5705499""",Premier Sedan,Anand Vihar ISBT,Rohini,3.2,,,,1,Personal & Car related issues,,,,,,,
10/02/24,9:17:39,"""CNR4487090""",Completed,"""CID1210782""",Premier Sedan,Lajpat Nagar,Chirag Delhi,9.6,39.1,,,,,,,1390,21.79,5,4.9,UPI
26/09/24,11:33:51,"""CNR5266935""",Cancelled by Driver,"""CID2831708""",Premier Sedan,Bahadurgarh,Pataudi Chowk,3.9,,,,1,More than permitted people in there,,,,,,,
01/07/24,17:39:56,"""CNR1487489""",Completed,"""CID3403699""",Bike,Moolchand,Karol Bagh,3.9,23,,,,,,,224,7.86,4.1,4.2,Cash
19/10/24,16:24:50,"""CNR6351034""",Completed,"""CID2038230""",Auto,Uttam Nagar,Vaishali,8.4,31.3,,,,,,,708,18.04,4.6,4.8,UPI
09/02/24,10:51:01,"""CNR7600870""",Completed,"""CID7289498""",Auto,INA Market,IFFCO Chowk,7.7,43.7,,,,,,,153,15.18,4.2,3.6,Uber Wallet
31/03/24,12:37:12,"""CNR5444321""",Cancelled by Driver,"""CID3326946""",Bike,Sushant Lok,Noida Sector 62,6.3,,,,1,The customer was coughing/sick,,,,,,,
11/12/24,17:05:36,"""CNR8509610""",Completed,"""CID8227993""",Bike,IIT Delhi,Mansarovar Park,5,35,,,,,,,72,13.38,4.7,4.2,Cash
19/06/24,16:19:41,"""CNR6851549""",Incomplete,"""CID9560489""",Go Sedan,Satguru Ram Singh Marg,Punjabi Bagh,8.9,15.6,,,,,1,Customer Demand,282,11.81,,,UPI
20/06/24,18:58:36,"""CNR3318044""",No Driver Found,"""CID4051792""",Go Mini,Adarsh Nagar,Gwal Pahari,,,,,,,,,,,,,
10/07/24,2:23:12,"""CNR3126177""",Completed,"""CID1851430""",Premier Sedan,Munirka,Saidulajab,10.9,43.6,,,,,,,696,30.9,4.7,3.7,UPI
06/02/24,21:27:00,"""CNR6453539""",Incomplete,"""CID6999817""",eBike,New Colony,Jasola,5.7,18,,,,,1,Vehicle Breakdown,936,14.91,,,Uber Wallet
30/09/24,12:34:51,"""CNR7449144""",Completed,"""CID8609350""",Auto,IGNOU Road,Tis Hazari,8.6,32.7,,,,,,,2169,44.25,4.4,4.3,Uber Wallet
20/09/24,13:09:16,"""CNR1970319""",Completed,"""CID6085619""",eBike,Meerut,Udyog Bhawan,9.5,24.6,,,,,,,136,45.46,3.2,3.8,Uber Wallet
30/04/24,20:25:28,"""CNR4415815""",Completed,"""CID8351180""",Go Mini,Punjabi Bagh,Saket A Block,4.6,38.9,,,,,,,214,2.91,4.1,4.7,UPI
04/06/24,20:38:07,"""CNR3899082""",Completed,"""CID5467225""",Go Mini,Akshardham,Mayur Vihar,10.3,16.4,,,,,,,835,37.57,4.2,4.8,UPI
30/10/24,16:29:36,"""CNR3274519""",Cancelled by Driver,"""CID3829804""",eBike,Chhatarpur,Gurgaon Sector 29,6,,,,1,More than permitted people in there,,,,,,,
11/08/24,18:21:32,"""CNR3263958""",Completed,"""CID3231090""",Go Sedan,IMT Manesar,Ashram,2.6,36.2,,,,,,,705,40.18,3.9,4.8,UPI
21/05/24,17:39:58,"""CNR5822542""",No Driver Found,"""CID1628370""",Uber XL,Madipur,DLF City Court,,,,,,,,,,,,,
08/10/24,8:52:57,"""CNR9652983""",Completed,"""CID4773175""",Go Sedan,Azadpur,Khan Market,2.1,35.5,,,,,,,480,20.22,4.3,4.8,Debit Card
26/03/24,18:59:52,"""CNR2598306""",Cancelled by Customer,"""CID5704025""",Premier Sedan,Chhatarpur,Badshahpur,14.4,,1,AC is not working,,,,,,,,,
24/06/24,18:04:39,"""CNR3274827""",Completed,"""CID3134967""",Go Mini,Cyber Hub,Old Gurgaon,7.5,41.7,,,,,,,707,44.76,4.8,4.4,UPI
28/03/24,19:20:01,"""CNR9139265""",Cancelled by Driver,"""CID4003339""",Bike,Jhilmil,DLF Phase 3,9.9,,,,1,Personal & Car related issues,,,,,,,
27/09/24,20:16:53,"""CNR8036415""",Completed,"""CID9244184""",eBike,Sikanderpur,Greater Noida,10,38,,,,,,,865,43.34,3.2,3.8,Cash
26/04/24,15:45:51,"""CNR8433849""",Completed,"""CID7659765""",Bike,Mayur Vihar,IGNOU Road,10.8,40,,,,,,,768,5.97,4.3,4.8,Cash
19/05/24,18:47:16,"""CNR2948784""",Completed,"""CID7747807""",Bike,Rohini West,Yamuna Bank,7,37,,,,,,,626,27.96,3.9,4.3,Uber Wallet
05/06/24,11:16:12,"""CNR1996806""",Completed,"""CID2293483""",Go Mini,Mandi House,Bahadurgarh,9.2,40.4,,,,,,,443,21.19,4.2,5,UPI
07/01/24,16:21:31,"""CNR6241612""",Cancelled by Customer,"""CID5715130""",Auto,Azadpur,Hauz Rani,7.9,,1,Driver asked to cancel,,,,,,,,,
19/04/24,14:14:27,"""CNR5222120""",Completed,"""CID2370613""",Go Sedan,Aya Nagar,Chandni Chowk,9.9,28.7,,,,,,,226,47.63,3.6,4.1,UPI
31/03/24,16:34:57,"""CNR6596872""",Completed,"""CID2589193""",Auto,Shastri Nagar,Saket A Block,12.8,30.6,,,,,,,449,24.4,3.3,4.1,UPI
26/03/24,19:13:05,"""CNR7149058""",Completed,"""CID7341591""",Go Mini,Vinobapuri,Shastri Park,5.9,21.1,,,,,,,778,7.49,4.3,4.9,UPI
10/06/24,15:24:51,"""CNR5726463""",Completed,"""CID3407189""",Bike,Rohini West,Yamuna Bank,14.7,18.8,,,,,,,361,24.44,4.3,4.8,UPI
16/08/24,17:05:19,"""CNR3975551""",Completed,"""CID2944423""",Auto,Kashmere Gate ISBT,New Colony,3.5,30.4,,,,,,,235,9.2,4.3,3.9,UPI
04/02/24,15:32:16,"""CNR8637930""",Completed,"""CID8137475""",Go Sedan,Rohini,Botanical Garden,8.6,15.9,,,,,,,186,28.09,4.2,4.4,Cash
24/06/24,18:46:34,"""CNR9935095""",Incomplete,"""CID7359331""",Uber XL,Kherki Daula Toll,Nawada,3.2,21.9,,,,,1,Other Issue,544,3.37,,,Cash
23/03/24,11:31:18,"""CNR8893726""",No Driver Found,"""CID8335294""",Bike,IFFCO Chowk,Dilshad Garden,,,,,,,,,,,,,
21/07/24,10:45:00,"""CNR3975051""",Cancelled by Customer,"""CID5797043""",Go Mini,Hauz Rani,Kaushambi,13.1,,1,Driver asked to cancel,,,,,,,,,
22/09/24,6:39:39,"""CNR1984811""",Cancelled by Customer,"""CID6701334""",Auto,Dilshad Garden,Qutub Minar,8.1,,1,Change of plans,,,,,,,,,
26/05/24,22:36:05,"""CNR7036055""",Completed,"""CID7359512""",Bike,Faridabad Sector 15,Vinobapuri,7.7,25,,,,,,,86,40.1,3.6,4.4,Cash
30/03/24,13:55:19,"""CNR3449107""",Cancelled by Driver,"""CID8684841""",Auto,Sarai Kale Khan,Central Secretariat,8.1,,,,1,Personal & Car related issues,,,,,,,
19/09/24,8:47:23,"""CNR6919653""",No Driver Found,"""CID5736754""",Go Mini,Vishwavidyalaya,MG Road,,,,,,,,,,,,,
26/12/24,16:16:56,"""CNR8504461""",Completed,"""CID3984123""",Premier Sedan,Malviya Nagar,Chanakyapuri,8.3,43.7,,,,,,,234,42.5,3.7,4.9,Cash
28/06/24,10:22:29,"""CNR3712671""",Cancelled by Driver,"""CID5160108""",eBike,Mayur Vihar,Vidhan Sabha,11.9,,,,1,The customer was coughing/sick,,,,,,,
30/11/24,18:36:50,"""CNR8819329""",Completed,"""CID6695773""",Go Sedan,Vaishali,Tilak Nagar,6,44.4,,,,,,,758,41.42,4.9,3.6,Cash
04/11/24,13:46:26,"""CNR3734278""",Incomplete,"""CID6462328""",Auto,Kashmere Gate ISBT,Laxmi Nagar,7.9,16.7,,,,,1,Other Issue,629,17.52,,,UPI
16/04/24,19:41:40,"""CNR2472864""",Completed,"""CID7156852""",Auto,Maidan Garhi,Panchsheel Park,12.5,26.3,,,,,,,273,31.69,4.4,4.8,UPI
12/09/24,5:52:14,"""CNR3239651""",Completed,"""CID9573465""",Auto,Yamuna Bank,Nirman Vihar,11.1,19.6,,,,,,,117,33.74,4.5,3.7,Debit Card
07/06/24,18:08:10,"""CNR2646387""",Completed,"""CID8652330""",Go Sedan,Khan Market,Central Secretariat,13.3,15.8,,,,,,,955,36.82,3.7,3.7,UPI
01/06/24,15:55:36,"""CNR4724814""",Completed,"""CID1251463""",Go Sedan,Pragati Maidan,Jama Masjid,9.7,31.5,,,,,,,139,38.75,4.4,4.3,UPI
05/05/24,14:17:24,"""CNR2200152""",Completed,"""CID6635464""",Go Mini,Mansarovar Park,Rohini,13.3,30.7,,,,,,,255,17.07,4.3,4.4,Cash
15/01/24,17:05:26,"""CNR5060137""",Completed,"""CID2961093""",Auto,Rithala,Aya Nagar,9.5,18,,,,,,,1212,19.18,4.3,4.3,UPI
08/07/24,17:50:10,"""CNR9291876""",Completed,"""CID9026677""",Go Sedan,Shastri Park,Indraprastha,10,23.6,,,,,,,81,23.93,4.7,3.9,Debit Card
14/08/24,17:41:00,"""CNR4212658""",Completed,"""CID5774800""",Auto,Cyber Hub,Udyog Bhawan,3.6,24.2,,,,,,,940,29.09,4.2,4.6,UPI
31/07/24,17:07:36,"""CNR7677229""",Cancelled by Driver,"""CID8986725""",Auto,Jhilmil,Vidhan Sabha,8.5,,,,1,The customer was coughing/sick,,,,,,,
08/05/24,16:37:21,"""CNR4415643""",Completed,"""CID4718297""",eBike,Saidulajab,Hauz Khas,10,17.9,,,,,,,98,27.55,4.2,4.1,Cash
29/07/24,12:28:32,"""CNR4092218""",Completed,"""CID5726360""",Premier Sedan,Tughlakabad,Meerut,5.9,15.5,,,,,,,724,14,4.1,4.2,Cash
09/08/24,16:41:35,"""CNR8034979""",Completed,"""CID1915443""",eBike,Kashmere Gate,Karkarduma,8,25.3,,,,,,,749,47.3,4.4,4.3,UPI
15/08/24,22:15:54,"""CNR7228014""",No Driver Found,"""CID3515824""",eBike,Madipur,Saket,,,,,,,,,,,,,
02/10/24,9:10:13,"""CNR1435581""",Completed,"""CID1856576""",Auto,Shastri Park,Barakhamba Road,11.5,37.4,,,,,,,244,14.59,4.1,4.8,UPI
12/05/24,1:09:07,"""CNR5373942""",No Driver Found,"""CID7792143""",Auto,Nawada,Jahangirpuri,,,,,,,,,,,,,
20/02/24,18:51:34,"""CNR3434703""",Incomplete,"""CID3333217""",Auto,Shahdara,Bhiwadi,2.6,22.8,,,,,1,Vehicle Breakdown,351,8.68,,,UPI
26/05/24,20:45:58,"""CNR6987620""",Completed,"""CID3121337""",Auto,Tilak Nagar,Azadpur,5.4,28.9,,,,,,,585,34.14,4.6,4.1,Debit Card
24/12/24,10:30:20,"""CNR4132145""",Completed,"""CID5140786""",Auto,DLF Phase 3,Udyog Vihar Phase 4,6.4,44.7,,,,,,,554,31.79,4.3,4.6,Cash
07/06/24,17:11:59,"""CNR8207805""",Completed,"""CID6685791""",Bike,Laxmi Nagar,Sohna Road,10.8,28.5,,,,,,,803,25.01,4.1,4.5,Credit Card
28/04/24,19:59:01,"""CNR1438443""",Completed,"""CID5468663""",Go Mini,Huda City Centre,Akshardham,9.4,24.8,,,,,,,388,17.56,4.2,4.7,UPI
26/01/24,18:13:59,"""CNR6129081""",Cancelled by Customer,"""CID2998238""",Bike,Shastri Nagar,Shivaji Park,7,,1,Wrong Address,,,,,,,,,
18/01/24,23:04:30,"""CNR1361929""",Completed,"""CID9052724""",Go Mini,Uttam Nagar,Greater Kailash,11.2,38.5,,,,,,,192,48.96,3.1,4.6,UPI
15/04/24,19:03:28,"""CNR2687237""",Completed,"""CID4887972""",Go Mini,Mehrauli,Nawada,9,39.1,,,,,,,79,32.91,4.4,3.8,Uber Wallet
19/12/24,20:42:59,"""CNR7486337""",No Driver Found,"""CID8581638""",Go Mini,Mansarovar Park,Manesar,,,,,,,,,,,,,
22/01/24,18:23:40,"""CNR4269906""",Completed,"""CID9683944""",Bike,Lajpat Nagar,Okhla,2.4,26.6,,,,,,,242,45.7,4,4.9,UPI
08/08/24,21:13:51,"""CNR1224347""",Cancelled by Customer,"""CID5493342""",Go Sedan,Patel Chowk,Nirman Vihar,13.4,,1,Driver asked to cancel,,,,,,,,,
21/05/24,20:31:57,"""CNR1401386""",Completed,"""CID2154950""",Go Mini,Botanical Garden,Azadpur,5.4,32.6,,,,,,,323,38.32,4.4,3.7,Uber Wallet
17/08/24,12:35:03,"""CNR2013487""",Cancelled by Driver,"""CID4175153""",Auto,Bahadurgarh,Pragati Maidan,7.7,,,,1,Customer related issue,,,,,,,
02/06/24,21:27:23,"""CNR7409512""",Completed,"""CID5474366""",Auto,Karol Bagh,Palam Vihar,5.4,24.4,,,,,,,799,9.1,4.2,4.6,UPI
11/03/24,22:20:11,"""CNR7658099""",Cancelled by Customer,"""CID8951576""",eBike,Azadpur,Raj Nagar Extension,19.1,,1,Change of plans,,,,,,,,,
20/11/24,16:42:58,"""CNR1980045""",Completed,"""CID9418411""",Premier Sedan,Ramesh Nagar,Greater Kailash,2.9,39.3,,,,,,,134,49.26,4.1,4.9,UPI
23/10/24,10:50:53,"""CNR8584951""",Cancelled by Driver,"""CID2820460""",Go Mini,Malviya Nagar,Lajpat Nagar,3.9,,,,1,More than permitted people in there,,,,,,,
